mssql_classic  read_by_experiment 2.837
mssql_classic  read_by_experiment 2.99
mssql_classic  read_by_experiment 2.957
mssql_classic  read_by_experiment 2.778
mssql_classic  read_by_experiment 2.576
mssql_classic  read_by_experiment 2.533
mssql_classic  read_by_experiment 2.761
mssql_classic  read_by_experiment 2.5
mssql_classic  read_by_experiment 2.485
mssql_classic  read_by_experiment 2.435
mongo_classic  read_by_experiment 25.201
mongo_classic  read_by_experiment 25.641
mongo_classic  read_by_experiment 24.4
mongo_classic  read_by_experiment 25.061
mongo_classic  read_by_experiment 24.459
mongo_classic  read_by_experiment 24.539
mongo_classic  read_by_experiment 24.277
mongo_classic  read_by_experiment 24.089
mongo_classic  read_by_experiment 25.427
mongo_classic  read_by_experiment 24.853
cassandra_classic  read_by_experiment 1.524
cassandra_classic  read_by_experiment 1.01
cassandra_classic  read_by_experiment 0.9
cassandra_classic  read_by_experiment 0.875
cassandra_classic  read_by_experiment 1.096
cassandra_classic  read_by_experiment 0.892
cassandra_classic  read_by_experiment 0.9
cassandra_classic  read_by_experiment 0.988
cassandra_classic  read_by_experiment 1.049
cassandra_classic  read_by_experiment 0.97
cassandra_classic  read_by_experiment 1.21
cassandra_classic  read_by_experiment 1.028
cassandra_experiment  read_by_experiment 0.309
cassandra_experiment  read_by_experiment 0.181
cassandra_experiment  read_by_experiment 0.177
cassandra_experiment  read_by_experiment 0.455
cassandra_experiment  read_by_experiment 0.236
cassandra_experiment  read_by_experiment 0.192
cassandra_experiment  read_by_experiment 0.194
cassandra_experiment  read_by_experiment 0.266
cassandra_experiment  read_by_experiment 0.2
cassandra_experiment  read_by_experiment 0.241
mongo_experiment  read_by_experiment 2.458
mongo_experiment  read_by_experiment 1.909
mongo_experiment  read_by_experiment 1.712
mongo_experiment  read_by_experiment 1.776
mongo_experiment  read_by_experiment 1.929
mongo_experiment  read_by_experiment 2.018
mongo_experiment  read_by_experiment 1.881
mongo_experiment  read_by_experiment 2.146
mongo_experiment  read_by_experiment 1.992
mongo_experiment  read_by_experiment 1.864
cassandra_subject  read_by_experiment 2.682
cassandra_subject  read_by_experiment 3.065
cassandra_subject  read_by_experiment 2.537
cassandra_subject  read_by_experiment 2.277
cassandra_subject  read_by_experiment 2.484
cassandra_subject  read_by_experiment 2.417
cassandra_subject  read_by_experiment 2.554
cassandra_subject  read_by_experiment 3.064
cassandra_subject  read_by_experiment 2.396
cassandra_subject  read_by_experiment 2.696
mongo_subject  read_by_experiment 2.277
mongo_subject  read_by_experiment 3.841
mongo_subject  read_by_experiment 1.791
mongo_subject  read_by_experiment 2.313
mongo_subject  read_by_experiment 1.793
mongo_subject  read_by_experiment 2.174
mongo_subject  read_by_experiment 2.068
mongo_subject  read_by_experiment 2.078
mongo_subject  read_by_experiment 2.193
mongo_subject  read_by_experiment 2.262
mssql_classic  read_by_subject 4.714
mssql_classic  read_by_subject 5.317
mssql_classic  read_by_subject 5.797
mssql_classic  read_by_subject 4.44
mssql_classic  read_by_subject 4.442
mssql_classic  read_by_subject 4.306
mssql_classic  read_by_subject 4.699
mssql_classic  read_by_subject 5.069
mssql_classic  read_by_subject 4.517
mssql_classic  read_by_subject 4.796
mongo_classic  read_by_subject 42.858
mongo_classic  read_by_subject 41.609
mongo_classic  read_by_subject 41.347
mongo_classic  read_by_subject 39.846
mongo_classic  read_by_subject 39.87
mongo_classic  read_by_subject 40.021
mongo_classic  read_by_subject 42.261
mongo_classic  read_by_subject 42.035
mongo_classic  read_by_subject 40.112
mongo_classic  read_by_subject 40.485
cassandra_classic  read_by_subject 1.916
cassandra_classic  read_by_subject 1.818
cassandra_classic  read_by_subject 1.594
cassandra_classic  read_by_subject 1.635
cassandra_classic  read_by_subject 1.521
cassandra_classic  read_by_subject 1.516
cassandra_classic  read_by_subject 1.904
cassandra_classic  read_by_subject 1.681
cassandra_classic  read_by_subject 1.659
cassandra_classic  read_by_subject 1.439
mongo_experiment  read_by_subject 3.553
mongo_experiment  read_by_subject 4.361
mongo_experiment  read_by_subject 3.151
mongo_experiment  read_by_subject 3.393
mongo_experiment  read_by_subject 2.89
mongo_experiment  read_by_subject 3.231
mongo_experiment  read_by_subject 3.323
mongo_experiment  read_by_subject 3.306
mongo_experiment  read_by_subject 3.298
mongo_experiment  read_by_subject 3.168
cassandra_experiment  read_by_subject 2.515
cassandra_experiment  read_by_subject 2.417
cassandra_experiment  read_by_subject 2.87
cassandra_experiment  read_by_subject 2.405
cassandra_experiment  read_by_subject 2.431
cassandra_experiment  read_by_subject 3.033
cassandra_experiment  read_by_subject 2.316
cassandra_experiment  read_by_subject 2.734
cassandra_experiment  read_by_subject 2.388
cassandra_experiment  read_by_subject 2.277
mongo_subject  read_by_subject 3.518
mongo_subject  read_by_subject 3.419
mongo_subject  read_by_subject 3.633
mongo_subject  read_by_subject 2.936
mongo_subject  read_by_subject 3.279
mongo_subject  read_by_subject 2.748
mongo_subject  read_by_subject 3.493
mongo_subject  read_by_subject 3.535
mongo_subject  read_by_subject 2.957
mongo_subject  read_by_subject 3.249
cassandra_subject  read_by_subject 0.436
cassandra_subject  read_by_subject 0.446
cassandra_subject  read_by_subject 0.317
cassandra_subject  read_by_subject 0.446
cassandra_subject  read_by_subject 0.313
cassandra_subject  read_by_subject 0.41
cassandra_subject  read_by_subject 0.379
cassandra_subject  read_by_subject 0.369
cassandra_subject  read_by_subject 0.412
cassandra_subject  read_by_subject 0.373
mongo_classic  read_by_experiment 0.001
